endTime,artistName,trackName,msPlayed
2023-07-16 10:04,Karan Aujla,Ykwim,954
2023-07-16 10:04,Tegi Pannu,Schedule,8447
2023-07-16 10:04,AP Dhillon,MAJHE AALE,2604
2023-07-16 10:04,Tegi Pannu,Fully Loaded,10498
2023-07-16 10:05,Diljit Dosanjh,Champagne,3580
2023-07-16 10:05,AP Dhillon,Ma Belle,1946
2023-07-16 10:05,AP Dhillon,TERE TE,1613
2023-07-16 10:05,Karan Aujla,Ykwim,32524
2023-07-16 10:05,Zehr Vibe,Distance Love,1576
2023-07-16 10:05,Tegi Pannu,Into You,317
2023-07-16 10:05,Tegi Pannu,Shinin',534
2023-07-16 10:05,Tegi Pannu,Shinin',1902
2023-07-17 12:14,JAY-Z,Ni**as In Paris,159761
2023-07-17 12:18,Bad Meets Evil,Fast Lane,249560
2023-07-17 12:20,DJ Khaled,I'm On One,1057
2023-07-17 12:20,Drake,Headlines,947
2023-07-17 12:20,Tyga,Rack City,27343
2023-07-17 12:30,JAY-Z,No Church In The Wild,6440
2023-07-19 11:24,DJ Khaled,I'm On One,4806
2023-07-19 11:27,JAY-Z,No Church In The Wild,204522
2023-07-19 11:31,Lil Wayne,6 Foot 7 Foot,248586
2023-07-19 11:32,Dr. Dre,I Need A Doctor,33339
2023-07-19 11:32,Meek Mill,Ima Boss (feat. Rick Ross),1444
2023-07-19 11:32,Bad Meets Evil,Lighters,0
2023-07-19 11:36,Childish Gambino,Heartbeat,269840
2023-07-19 11:40,Lil Wayne,She Will,456
2023-07-19 11:40,Big Sean,Dance (A$$) Remix,0
2023-07-19 11:40,Wale,Lotus Flower Bomb (feat. Miguel),0
2023-07-19 11:40,Lupe Fiasco,The Show Goes On,230968
2023-07-19 11:40,Drake,The Motto,420
2023-07-19 11:40,Jay Rock,Hood Gone Love It (feat. Kendrick Lamar),0
2023-07-19 11:40,Wiz Khalifa,Roll Up,0
2023-07-19 11:40,JAY-Z,Gotta Have It,0
2023-07-19 11:40,Mac Miller,Donald Trump,0
2023-07-19 11:45,Kendrick Lamar,A.D.H.D,0
2023-07-19 11:45,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",6253
2023-07-19 11:45,Wiz Khalifa,No Sleep,2950
2023-07-19 11:45,Drake,Make Me Proud,0
2023-07-19 11:45,Childish Gambino,Bonfire,2718
2023-07-19 11:45,The Game,Red Nation,282511
2023-07-19 11:48,Dua Lipa,Dance The Night - From Barbie The Album,5536
2023-07-19 11:48,The Weeknd,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),213895
2023-07-19 11:49,Bad Bunny,WHERE SHE GOES,931
2023-07-19 11:49,Jung Kook,Seven (feat. Latto),0
2023-07-19 11:50,Nicki Minaj,Barbie World (with Aqua) [From Barbie The Album],107509
2023-07-19 11:51,Gunna,fukumean,1549
2023-07-19 11:51,NewJeans,Super Shy,53969
2023-07-19 11:51,SZA,Kill Bill,9515
2023-07-19 11:52,Myke Towers,LALA,6621
2023-07-19 11:52,David Guetta,Baby Don't Hurt Me,1750
2023-07-19 11:52,Metro Boomin,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",4111
2023-07-19 11:52,Harry Styles,As It Was,47
2023-07-19 11:52,Quevedo,Columbia,34767
2023-07-19 11:52,Rema,Calm Down (with Selena Gomez),700
2023-07-19 11:52,Miley Cyrus,Flowers,0
2023-07-19 11:53,The Weeknd,Die For You - Remix,0
2023-07-19 11:53,Libianca,People,0
2023-07-19 11:53,Doja Cat,Attention,814
2023-07-19 11:53,PinkPantheress,Boy's a liar Pt. 2,0
2023-07-19 11:53,Post Malone,Chemical,0
2023-07-19 11:53,FIFTY FIFTY,Cupid - Twin Ver.,16111
2023-07-19 11:54,David Kushner,Daylight,0
2023-07-19 11:54,Kali Uchis,Moonlight,0
2023-07-19 11:54,SZA,Snooze,0
2023-07-19 11:54,PinkPantheress,Boy's a liar Pt. 2,46100
2023-07-19 11:54,Luke Combs,Fast Car,423
2023-07-19 11:54,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),6738
2023-07-19 11:54,Lil Durk,All My Life (feat. J. Cole),2948
2023-07-19 11:54,Tainy,MOJABI GHOST,11137
2023-07-19 11:54,OneRepublic,I Ain't Worried,748
2023-07-19 11:54,Doechii,What It Is (Solo Version),0
2023-07-19 11:54,Troye Sivan,Rush,0
2023-07-19 11:54,Taylor Swift,Karma,0
2023-07-19 11:56,David Guetta,I'm Good (Blue),90468
2023-07-19 11:56,JVKE,golden hour,0
2023-07-19 11:56,Stephen Sanchez,Until I Found You (with Em Beihold) - Em Beihold Version,1645
2023-07-19 12:08,Peggy Gou,(It Goes Like) Nanana - Edit,118820
2023-07-19 12:08,Calvin Harris,Miracle (with Ellie Goulding),2119
2023-07-19 19:08,Wiz Khalifa,Black and Yellow,217666
2023-07-19 19:12,Ed Sheeran,Shape of You,233712
2023-07-19 19:15,The Wanted,Glad You Came,197935
2023-07-20 06:58,Shakira,La Tortura (feat. Alejandro Sanz),212893
2023-07-20 07:09,Major Lazer,Lean On,61312
2023-07-21 17:08,blink-182,First Date,171533
2023-07-21 17:11,blink-182,The Rock Show,171600
2023-07-21 17:14,Linkin Park,In the End,216880
2023-07-21 17:18,Smash Mouth,All Star,10537
2023-07-21 17:18,blink-182,All The Small Things,970
2023-07-21 17:18,blink-182,All The Small Things,842
2023-07-21 17:18,Linkin Park,Numb,4466
2023-07-21 17:18,The Offspring,Self Esteem,1830
2023-07-21 17:18,The Offspring,Self Esteem,4336
2023-07-21 17:18,Blur,Song 2 - 2012 Remaster,1012
2023-07-21 17:18,The White Stripes,Seven Nation Army,232106
2023-07-21 17:18,Nickelback,How You Remind Me,800
2023-07-21 17:19,Fall Out Boy,Thnks fr th Mmrs,610
2023-07-21 17:19,blink-182,Dammit,1674
2023-07-21 17:19,The Killers,When You Were Young,1133
2023-07-21 17:22,blink-182,Dammit,165373
2023-07-21 17:33,The Killers,When You Were Young,60409
2023-07-24 14:47,Stromae,Tous les mêmes,3830
2023-07-24 14:48,Stromae,Tous les mêmes,59973
2023-07-24 14:49,g3ox_em,GigaChad Theme - Phonk House Version,52970
2023-07-24 14:49,Mareux,The Perfect Girl,7111
2023-07-24 14:50,Bring Me The Horizon,Can You Feel My Heart,9376
2023-07-24 14:51,TWISTED,WORTH NOTHING (feat. Oliver Tree) - Fast & Furious: Drift Tape/Phonk Vol 1,18471
2023-07-24 14:51,Ghostface Playa,Why Not,6353
2023-07-24 14:51,motty,inuria 2,8167
2023-07-24 14:51,DVRST,Close Eyes,80808
2023-07-24 14:52,g3ox_em,GigaChad Theme - Phonk House Version,824
2023-07-24 14:52,SHADXWBXRN,PRINCE OF DARKNESS,4041
2023-07-24 14:52,INTERWORLD,METAMORPHOSIS,4557
2023-07-24 14:52,Mr.Kitty,After Dark,3296
2023-07-24 14:52,MoonDeity,NEON BLADE,8836
2023-07-24 14:52,ZODIVK,Tokyo Drift,2560
2023-07-24 14:52,Dxrk ダーク,RAVE,2301
2023-07-24 14:52,PLVTINUM,DEMONS,5503
2023-07-24 14:52,FindMyName,Show Me Your Back,4087
2023-07-24 14:52,Pastel Ghost,Silhouette,3659
2023-07-24 14:52,Naeleck,All My Heroes - Radio Edit,1610
2023-07-24 14:53,KSLV Noh,Disaster,3548
2023-07-24 14:53,T3NZU,Drive Forever,8099
2023-07-24 14:53,Kordhell,MURDER PLOT,2115
2023-07-24 14:53,DVRST,Close Eyes - Slowed + Reverb,4206
2023-07-24 14:53,phonk.me,GHOST!,2761
2023-07-24 14:53,Ghostemane,Fed Up,5965
2023-07-24 14:53,PlayaPhonk,Phonky Town,2695
2023-07-24 14:53,Freddie Dredd,Devil's Work,7812
2023-07-24 14:53,Nateki,Hiding in the Darkness,7236
2023-07-24 14:54,Vinod Rathod,Sundara Sundara,0
2023-07-24 14:54,Asha Bhosle,Rangeela Re,0
2023-07-24 14:54,Aamir Khan,Aati Kya Khandala,0
2023-07-24 14:54,Poornima,Oonchi Hai Building,1078
2023-07-24 14:54,Alka Yagnik,Tip Tip Barsa Paani,0
2023-07-24 14:54,Sudesh Bhosle,Jooma Chumma De De,0
2023-07-24 14:54,Anupama,Uljhi Hai Yeh Kis Jaal Mein Tu - Humko Aajkal Hai Intezaar,564
2023-07-24 14:54,Udit Narayan,Sona Kitna Sona Hai,0
2023-07-24 14:54,Abhijeet,Suniye To,0
2023-07-24 14:54,Udit Narayan,Ghoongte Mein Chanda,34
2023-07-24 14:54,VINAI,The Sinner,7480
2023-07-24 14:54,Abhijeet,Ole Ole,15195
2023-07-24 14:54,Alka Yagnik,Kisi Disco Mein Jaaye,13575
2023-07-24 14:54,Alka Yagnik,Akhiyaan Milaoon Kabhi,2094
2023-07-24 14:55,Vinod Rathod,Sundara Sundara,404
2023-07-24 14:55,Abhijeet,Chunnari Chunnari,784
2023-07-24 14:55,Uttam Singh,Le Gayi,0
2023-07-24 14:55,Anuradha Paudwal,Dhak Dhak Karne Laga,0
2023-07-24 14:55,Anuradha Paudwal,Dhak Dhak Karne Laga,283
2023-07-24 14:55,Kumar Sanu,Hai Hukku Hai Hukku Hai Hai,250
2023-07-24 14:55,Alka Yagnik,Dilbar Dilbar,0
2023-07-24 14:55,Shweta Shetty,Dil Tote Tote Ho Gaya,0
2023-07-24 14:57,Abhijeet,Chunnari Chunnari,126350
2023-07-24 14:58,Shweta Shetty,Dil Tote Tote Ho Gaya,83191
2023-07-24 15:00,S. P. Balasubrahmanyam,Pehli Baar Mile Hain,2537
2023-07-24 15:00,Lata Mangeshkar,Mere Khwabon Mein,8635
2023-07-24 15:00,Daler Mehndi,Bolo Ta Ra Ra,113947
2023-07-24 15:00,Kumar Sanu,Tum Par Hum Hai Atke Yaara,4873
2023-07-24 15:01,Kumar Sanu,Neend Churayee Meri,233
2023-07-24 15:01,Pinky,Piya Piya O Piya,0
2023-07-24 15:01,Udit Narayan,Too Cheez Badi Hain,1293
2023-07-24 15:01,Jatin-Lalit,Koi Mil Gaya,18102
2023-07-24 15:01,Jaspinder Narula,Tera Rang Balle Balle,3750
2023-07-24 15:01,Sukhwinder Singh,Taal Se Taal - Western Version,3736
2023-07-24 15:01,Alka Yagnik,Ek Do Teen Char,110
2023-07-24 15:01,Sonu Nigam,Ankhiyon Se Goli Maare,1633
2023-07-24 15:04,Sanjay Dutt,I Love You Bol Daal,1776
2023-07-24 15:04,Remo Fernandes,"Ek Ho Gaye Hum Aur Tum - From ""Bombay""",144
2023-07-24 15:04,Poornima,Oonchi Hai Building,784
2023-07-24 15:04,Udit Narayan,Gore Gore Mukhde Pe,658
2023-07-24 15:04,Kumar Sanu,Tera Aana Tera Jaana,496
2023-07-24 15:04,Kumar Sanu,Bholi Bhali Ladki,362
2023-07-24 15:04,Kamaal Khan,O O Jaane Jaana,5
2023-07-24 15:04,Abhijeet,Suniye To,435
2023-07-24 15:04,Uttam Singh,Le Gayi,28
2023-07-24 15:04,Abhijeet,Main Khiladi Tu Anari,288
2023-07-24 15:04,Udit Narayan,Ghoongte Mein Chanda,973
2023-07-24 15:04,Jaspinder Narula,Tera Rang Balle Balle,139058
2023-07-24 15:04,Abhijeet,Ole Ole,210
2023-07-24 15:04,Kumar Sanu,Hai Hukku Hai Hukku Hai Hai,23
2023-07-24 15:04,Alka Yagnik,Kisi Disco Mein Jaaye,23
2023-07-24 15:04,Alka Yagnik,Ek Do Teen Char,717
2023-07-24 15:04,Shweta Shetty,Dil Tote Tote Ho Gaya,798
2023-07-24 15:06,Sudesh Bhosle,Jooma Chumma De De,3322
2023-07-24 15:06,Abhijeet,Shahar Ki Ladki,1865
2023-07-24 15:06,Sukhwinder Singh,Taal Se Taal - Western Version,112890
2023-07-24 15:07,Aamir Khan,Aati Kya Khandala,870
2023-07-24 15:07,Abhijeet,Chunnari Chunnari,4000
2023-07-24 15:07,Anupama,Uljhi Hai Yeh Kis Jaal Mein Tu - Humko Aajkal Hai Intezaar,1348
2023-07-24 15:07,S. P. Balasubrahmanyam,Pehli Baar Mile Hain,1520
2023-07-24 15:07,Udit Narayan,Sona Kitna Sona Hai,1950
2023-07-24 15:07,Jatin-Lalit,Koi Mil Gaya,46
2023-07-24 15:07,Anuradha Paudwal,Dhak Dhak Karne Laga,685
2023-07-24 15:07,Jaspinder Narula,Kudi Kanwari,664
2023-07-24 15:07,A.R. Rahman,Urvashi Urvashi,77755
2023-07-24 15:08,Kumar Sanu,Neend Churayee Meri,1524
2023-07-24 15:08,Pinky,Piya Piya O Piya,202
2023-07-24 15:08,Kumar Sanu,Pehli Pehli Baar Jab,652
2023-07-24 15:08,Kumar Sanu,Duniya Mein Aaye,2037
2023-07-24 15:08,Alka Yagnik,Makhna,12660
2023-07-24 15:08,Kumar Sanu,Tum Par Hum Hai Atke Yaara,1349
2023-07-24 15:08,Sonu Nigam,Ankhiyon Se Goli Maare,681
2023-07-24 15:09,Alka Yagnik,Tip Tip Barsa Paani,0
2023-07-24 15:09,Udit Narayan,Duniya Haseenon Ka Mela,230
2023-07-24 15:09,Udit Narayan,Too Cheez Badi Hain,49199
2023-07-24 15:09,Devang Patel,Meri Marji,2455
2023-07-24 15:09,Kumar Sanu,Aankh Mare,1081
2023-07-24 15:09,Kumar Sanu,Aankh Mare,482
2023-07-24 15:09,Daler Mehndi,Bolo Ta Ra Ra,23
2023-07-24 15:09,Kumar Sanu,"Chura Ke Dil Mera (From ""Main Khiladi Tu Anari"")",785
2023-07-24 15:09,Udit Narayan,Akeli Na Bazar Jaya Karo,14132
2023-07-24 15:09,Alka Yagnik,Dilbar Dilbar,934
2023-07-24 15:09,Alka Yagnik,Dilbar Dilbar,1547
2023-07-24 15:10,Vinod Rathod,Sundara Sundara,875
